scenario,month,grp,upper,lower,value,location,variable
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0.864,0.328,0.568,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),1.195,0.587,0.848,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),1.071,0.523,0.75,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0.854,0.452,0.644,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0.877,0.373,0.586,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),9.12,6.593,8.16,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),8.749,6.49,7.536,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),7.054,5.284,5.904,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),6.931,4.875,5.788,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),1.937,1.365,1.68,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),1.919,1.299,1.567,Hill County,penman
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),5.408,3.969,4.482,Hill County,penman
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),5.401,3.645,4.477,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),1.324,0.577,0.839,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),1.356,0.564,0.884,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),3.15,1.959,2.534,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),3.353,1.758,2.578,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),5.413,3.947,4.607,Hill County,penman
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),5.634,3.686,4.599,Hill County,penman
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),3.204,2.608,2.873,Hill County,penman
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),3.19,2.325,2.711,Hill County,penman
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),9.231,7.027,8.111,Hill County,penman
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),8.084,6.126,7.046,Hill County,penman
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),1.009,0.428,0.637,Hill County,penman
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),0.879,0.371,0.569,Hill County,penman
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),1.181,0.645,0.771,Hill County,penman
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),1.031,0.52,0.738,Hill County,penman
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),0.952,0.34,0.682,Hill County,penman
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),0.809,0.345,0.579,Hill County,penman
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),9.481,7.447,8.545,Hill County,penman
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),8.774,6.457,7.542,Hill County,penman
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),7.93,5.281,6.188,Hill County,penman
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),7.058,5.016,5.756,Hill County,penman
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),2.006,1.387,1.696,Hill County,penman
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),1.944,1.265,1.551,Hill County,penman
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),5.765,4.117,4.599,Hill County,penman
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),5.29,3.834,4.423,Hill County,penman
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),1.889,0.585,0.987,Hill County,penman
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),1.371,0.556,0.909,Hill County,penman
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),3.889,2.183,3.233,Hill County,penman
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),3.515,1.931,2.625,Hill County,penman
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),6.395,4.254,5.616,Hill County,penman
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),5.714,3.805,4.698,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),3.579,2.661,3.055,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),3.27,2.413,2.793,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),9.89,7.536,8.357,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),8.3,6.272,7.271,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),0.905,0.511,0.686,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),0.899,0.378,0.593,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),1.088,0.666,0.845,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),1.045,0.513,0.762,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),0.801,0.411,0.632,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),0.867,0.365,0.579,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),10.623,7.736,8.979,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Jul,Mid Century (2040-2069),9.064,6.704,7.776,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Jun,End-of-Century (2070-2099),8.112,5.897,6.708,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Jun,Mid Century (2040-2069),7.235,5.022,5.987,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Mar,End-of-Century (2070-2099),2.026,1.615,1.789,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Mar,Mid Century (2040-2069),1.979,1.317,1.604,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",May,End-of-Century (2070-2099),6.504,4.349,5.355,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",May,Mid Century (2040-2069),5.65,3.831,4.571,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Nov,End-of-Century (2070-2099),1.932,0.651,1.202,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Nov,Mid Century (2040-2069),1.457,0.619,0.948,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Oct,End-of-Century (2070-2099),4.162,2.174,3.069,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Oct,Mid Century (2040-2069),3.623,1.926,2.551,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Sep,End-of-Century (2070-2099),6.955,4.283,5.67,Hill County,penman
"Accelerating Emissions
(SSP5-8.5)",Sep,Mid Century (2040-2069),5.821,3.911,4.84,Hill County,penman
