scenario,month,grp,upper,lower,value,location,variable
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),4.345,1.26,2.542,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),3.175,1.108,2.078,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),3.567,1.014,1.975,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),4.155,1.804,2.956,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),4.365,1.16,2.619,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),2.465,0.174,0.724,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),1.439,0.123,0.579,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),2.714,1.188,2.219,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),3.47,0.985,2.071,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),2.895,1.183,2.075,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),3.214,1.025,2.003,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),4.303,1.677,2.4,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),3.621,1.234,2.412,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),4.181,1.489,2.998,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),4.448,1.227,2.415,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),2.85,0.701,2.111,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),3.259,0.608,1.691,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),2.859,0.152,1.27,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),2.619,0.32,1.107,Mineral County,pr
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),3.262,1.522,2.313,Mineral County,pr
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),2.938,1.108,1.963,Mineral County,pr
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),1.128,0.165,0.517,Mineral County,pr
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),1.722,0.143,0.658,Mineral County,pr
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),4.21,1.53,2.331,Mineral County,pr
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),4.357,1.159,2.483,Mineral County,pr
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),3.968,1.522,2.91,Mineral County,pr
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),3.231,0.832,1.735,Mineral County,pr
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),3.77,0.638,1.991,Mineral County,pr
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),4.54,1.304,2.627,Mineral County,pr
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),1.524,0.174,0.692,Mineral County,pr
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),1.387,0.142,0.627,Mineral County,pr
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),3.801,1.125,1.647,Mineral County,pr
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),3.391,0.973,2.118,Mineral County,pr
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),4.23,2.03,2.437,Mineral County,pr
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),3.181,1.162,2.01,Mineral County,pr
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),3.414,1.394,2.815,Mineral County,pr
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),3.436,1.253,2.258,Mineral County,pr
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),4.65,1.8,2.691,Mineral County,pr
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),4.369,1.219,2.624,Mineral County,pr
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),3.656,1.161,2.008,Mineral County,pr
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),3.116,0.667,1.649,Mineral County,pr
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),2.692,0.439,0.874,Mineral County,pr
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),2.315,0.292,1.068,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),3.096,1.447,2.158,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),2.652,1.166,1.922,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),1.761,0.157,0.538,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),1.703,0.114,0.677,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),4.776,1.407,2.915,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),4.454,1.189,2.486,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),2.65,1.002,1.88,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),3.646,0.969,1.989,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),4.781,1.544,2.709,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),4.432,1.363,2.607,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),1.903,0.126,0.448,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Jul,Mid Century (2040-2069),1.518,0.147,0.672,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Jun,End-of-Century (2070-2099),2.9,1.231,1.702,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Jun,Mid Century (2040-2069),3.501,0.799,2.007,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Mar,End-of-Century (2070-2099),3.746,1.478,2.263,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Mar,Mid Century (2040-2069),3.19,1.229,2.068,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",May,End-of-Century (2070-2099),3.174,1.072,2.138,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",May,Mid Century (2040-2069),3.411,1.292,2.348,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Nov,End-of-Century (2070-2099),4.494,1.62,2.495,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Nov,Mid Century (2040-2069),4.175,1.187,2.479,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Oct,End-of-Century (2070-2099),3.088,0.607,1.597,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Oct,Mid Century (2040-2069),2.863,0.596,1.657,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Sep,End-of-Century (2070-2099),2.489,0.198,1.24,Mineral County,pr
"Accelerating Emissions
(SSP5-8.5)",Sep,Mid Century (2040-2069),2.49,0.238,1.106,Mineral County,pr
