scenario,month,grp,upper,lower,value,location,variable
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0.805,0.151,0.417,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),0.651,0.095,0.257,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),0.544,0.114,0.289,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0.663,0.144,0.43,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0.757,0.161,0.384,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),2.136,0.451,1.311,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),2.71,0.409,1.229,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),3.539,0.922,2.511,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),4.206,1.25,2.652,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),0.933,0.295,0.52,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),0.851,0.19,0.44,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),3.749,1.702,2.124,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),4.182,1.149,2.46,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),0.941,0.168,0.299,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),0.909,0.141,0.41,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),1.845,0.322,0.868,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),2.063,0.208,0.72,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),2.298,0.316,0.696,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),2.197,0.228,0.857,Garfield County,pr
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),2.631,0.587,1.554,Garfield County,pr
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),2.197,0.637,1.26,Garfield County,pr
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),1.793,0.129,0.597,Garfield County,pr
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),2.06,0.19,0.819,Garfield County,pr
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),0.628,0.189,0.381,Garfield County,pr
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),0.715,0.16,0.4,Garfield County,pr
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),0.8,0.09,0.413,Garfield County,pr
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),0.511,0.106,0.263,Garfield County,pr
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),0.732,0.185,0.444,Garfield County,pr
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),0.731,0.174,0.425,Garfield County,pr
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),3.069,0.188,0.818,Garfield County,pr
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),2.737,0.439,1.201,Garfield County,pr
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),4.116,1.239,2.757,Garfield County,pr
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),4.4,1.345,2.577,Garfield County,pr
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),0.879,0.204,0.613,Garfield County,pr
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),0.843,0.194,0.502,Garfield County,pr
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),4.787,1.707,2.876,Garfield County,pr
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),4.028,1.345,2.535,Garfield County,pr
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),1.322,0.232,0.525,Garfield County,pr
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),0.919,0.14,0.396,Garfield County,pr
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),2.628,0.288,0.897,Garfield County,pr
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),1.72,0.155,0.678,Garfield County,pr
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),1.913,0.213,0.913,Garfield County,pr
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),2.215,0.223,0.869,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),1.939,0.524,0.985,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),2.275,0.641,1.362,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),1.691,0.103,0.539,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),2.233,0.161,0.719,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),0.825,0.306,0.525,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),0.743,0.148,0.398,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),0.474,0.105,0.303,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),0.528,0.126,0.291,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),0.689,0.148,0.449,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),0.76,0.201,0.441,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),1.799,0.176,0.791,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Jul,Mid Century (2040-2069),2.455,0.323,1.299,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Jun,End-of-Century (2070-2099),4.098,1.143,2.676,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Jun,Mid Century (2040-2069),4.219,1.221,2.486,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Mar,End-of-Century (2070-2099),0.89,0.329,0.644,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Mar,Mid Century (2040-2069),0.853,0.218,0.487,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",May,End-of-Century (2070-2099),3.778,0.923,2.063,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",May,Mid Century (2040-2069),4.086,1.1,2.371,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Nov,End-of-Century (2070-2099),1.141,0.061,0.438,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Nov,Mid Century (2040-2069),0.911,0.128,0.395,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Oct,End-of-Century (2070-2099),1.983,0.082,1.147,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Oct,Mid Century (2040-2069),1.65,0.22,0.678,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Sep,End-of-Century (2070-2099),1.781,0.119,0.401,Garfield County,pr
"Accelerating Emissions
(SSP5-8.5)",Sep,Mid Century (2040-2069),2.088,0.208,0.936,Garfield County,pr
