variable,time,mn,mx
erc,annual,12.401480674743652,51.58611297607422
erc,apr,5.23033332824707,47.411109924316406
erc,aug,33.11397933959961,71.83118438720703
erc,dec,1.0999246835708618,46.56344223022461
erc,feb,1.3623332977294922,44.392364501953125
erc,jan,1.109376311302185,44.445159912109375
erc,jul,25.086021423339844,65.04515838623047
erc,jun,12.468889236450195,49.68333435058594
erc,mar,3.16329026222229,48.2870979309082
erc,may,11.035484313964844,50.505374908447266
erc,nov,2.821444511413574,46.58333206176758
erc,oct,13.750537872314453,51.068817138671875
erc,sep,26.994443893432617,62.03888702392578
etr,annual,2.374781370162964,5.243336200714111
etr,apr,2.4798173904418945,5.172693729400635
etr,aug,2.1438355445861816,5.063835620880127
etr,dec,2.318904161453247,5.114109516143799
etr,feb,2.3118398189544678,5.408105373382568
etr,jan,2.4780821800231934,5.39561653137207
etr,jul,2.295342445373535,5.1078081130981445
etr,jun,2.3951730728149414,5.220400810241699
etr,mar,2.2789955139160156,5.128767013549805
etr,may,2.321917772293091,4.970959186553955
etr,nov,2.429178237915039,5.365753173828125
etr,oct,2.3625683784484863,5.841529846191406
etr,sep,2.3504109382629395,5.482054710388184
pet,annual,1.8212988376617432,3.6596262454986572
pet,apr,1.9034444093704224,3.6422221660614014
pet,aug,3.4992473125457764,6.35698938369751
pet,dec,0.23946237564086914,1.4705376625061035
pet,feb,0.48064860701560974,1.766358733177185
pet,jan,0.32752689719200134,1.5219354629516602
pet,jul,4.0156989097595215,6.993010520935059
pet,jun,3.14644455909729,5.925777912139893
pet,mar,1.2145161628723145,2.714301109313965
pet,may,2.7492473125457764,4.843656063079834
pet,nov,0.3893333375453949,2.0004444122314453
pet,oct,1.0161290168762207,2.9296774864196777
pet,sep,2.190333366394043,4.547555446624756
pr,annual,163.73666381835938,2824.743408203125
pr,apr,15.260000228881836,255.6566619873047
pr,aug,12.451000213623047,101.5999984741211
pr,dec,3.878333330154419,377.1066589355469
pr,feb,3.7049999237060547,313.2466735839844
pr,jan,3.8586666584014893,385.48333740234375
pr,jul,14.420333862304688,91.36000061035156
pr,jun,27.829999923706055,202.92332458496094
pr,mar,6.13100004196167,368.67999267578125
pr,may,25.03733253479004,216.39999389648438
pr,nov,5.704666614532471,370.47332763671875
pr,oct,13.75100040435791,244.30667114257812
pr,sep,14.6336669921875,132.1199951171875
rmax,annual,63.0852165222168,96.511138916015625
rmax,apr,69.860443115234375,95.9977798461914
rmax,aug,51.513118743896484,94.46935272216797
rmax,dec,63.090538024902344,99.01021575927734
rmax,feb,66.24707794189453,98.73612976074219
rmax,jan,66.76118469238281,99.01688385009766
rmax,jul,53.69913864135742,96.15967559814453
rmax,jun,65.32099914550781,95.39344787597656
rmax,mar,66.59053802490234,98.21763610839844
rmax,may,67.30150604248047,94.176666259765625
rmax,nov,64.15522003173828,99.34300231933594
rmax,oct,62.3972053527832,98.16634368896484
rmax,sep,56.92388916015625,96.23566436767578
rmin,annual,27.966697692871094,55.8624382019043
rmin,apr,26.19877815246582,53.09611129760742
rmin,aug,17.802579879760742,40.69440841674805
rmin,dec,31.463764190673828,79.302581787109375
rmin,feb,30.595903396606445,70.15509796142578
rmin,jan,32.01322555541992,76.89322662353516
rmin,jul,19.54258155822754,41.0965576171875
rmin,jun,25.054000854492188,51.77155685424805
rmin,mar,28.941720962524414,58.11655807495117
rmin,may,25.46419334411621,49.143978118896484
rmin,nov,30.390111923217773,71.1078872680664
rmin,oct,26.81397819519043,59.980106353759766
rmin,sep,20.524999618530273,48.215667724609375
sph,annual,0.002412947127595544,0.005164960864931345
sph,apr,0.001971033401787281,0.004412599839270115
sph,aug,0.0038914731703698635,0.009089978411793709
sph,dec,0.001225591404363513,0.0031819676514714956
sph,feb,0.0012582220369949937,0.003530945396050811
sph,jan,0.0013219676911830902,0.003345268778502941
sph,jul,0.004239892587065697,0.010516021400690079
sph,jun,0.003742133267223835,0.008843678049743176
sph,mar,0.001548483851365745,0.0039013870991766453
sph,may,0.0028554408345371485,0.0060369460843503475
sph,nov,0.0015147000085562468,0.004032755736261606
sph,oct,0.002250042976811528,0.005013107322156429
sph,sep,0.0029566334560513496,0.006644433364272118
srad,annual,150.68338012695312,192.19149780273438
srad,apr,182.88677978515625,260.0783386230469
srad,aug,234.53591918945312,266.17901611328125
srad,dec,37.51849365234375,74.08451843261719
srad,feb,72.83924102783203,129.81202697753906
srad,jan,46.508277893066406,86.99419403076172
srad,jul,268.4190368652344,314.89031982421875
srad,jun,237.38278198242188,314.0433349609375
srad,mar,127.72300720214844,194.1470947265625
srad,may,230.34429931640625,314.1260070800781
srad,nov,46.792667388916016,90.04566955566406
srad,oct,89.39677429199219,135.50978088378906
srad,sep,155.11843872070312,201.014892578125
tmmn,annual,263.47247314453125,276.6701354980469
tmmn,apr,260.6607666015625,275.2203369140625
tmmn,aug,272.3725891113281,288.2733459472656
