variable,type,mn,mx
penman,diff,1.6964913606643677,9.051619529724121
penman,raw,686.572998046875,1329.7327880859375
pr,diff,0.08180272579193115,4.103451251983643
pr,raw,186.10867309570312,1111.4437255859375
sfcWind,diff,-0.5258126258850098,0.11723878234624863
sfcWind,raw,2.3082709312438965,4.351236343383789
tas,diff,2.702362060546875,9.658520698547363
tas,raw,272.487548828125,289.273193359375
tasmax,diff,2.759051561355591,9.355133056640625
tasmax,raw,279.5272216796875,295.59100341796875
tasmin,diff,2.619030714035034,9.961908340454102
tasmin,raw,265.09881591796875,282.95538330078125
